SOC,B_Vol,B_Curr
78.9999701,386.8642133,-43.68640135
78.99997006,386.8618056,-43.7230019
78.99997002,386.859408,-43.7594364
78.99996997,386.8570207,-43.79570369
78.99996993,386.8546437,-43.83180277
78.99996989,386.8522771,-43.86773272
78.99996984,386.8499211,-43.90349278
78.9999698,386.8475757,-43.9390823
78.99996976,386.8452409,-43.97450077
78.99996971,386.8429169,-44.00974781
78.99996967,386.8406037,-44.04482316
78.99996963,386.8383013,-44.07972672
78.99996958,386.8360099,-44.1144585
78.99996954,386.8337293,-44.14901865
78.9999695,386.8314597,-44.18340746
78.99996945,386.8292011,-44.21762533
78.99996941,386.8269535,-44.25167281
78.99996937,386.8247168,-44.28555054
78.99996932,386.8224911,-44.31925932
78.99996928,386.8202763,-44.35280004
78.99996924,386.8180724,-44.38617371
78.99996919,386.8158794,-44.41938143
78.99996915,386.8136973,-44.45242443
78.99996911,386.811526,-44.485304
78.99996906,386.8093654,-44.51802155
78.99996902,386.8072154,-44.55057856
78.99996897,386.8050761,-44.58297656
78.99996893,386.8029473,-44.61521719
78.99996889,386.8008289,-44.64730211
78.99996884,386.7987209,-44.67923305
78.9999688,386.7966231,-44.71101178
78.99996876,386.7945355,-44.7426401
78.99996871,386.7924579,-44.77411986
78.99996867,386.7903903,-44.80545288
78.99996862,386.7883325,-44.83664103
78.99996858,386.7862844,-44.86768617
78.99996853,386.7842459,-44.89859014
78.99996849,386.782217,-44.92935477
78.99996845,386.7801974,-44.95998187
78.9999684,386.778187,-44.99047321
78.99996836,386.7761858,-45.02083051
78.99996831,386.7741936,-45.05105547
78.99996827,386.7722103,-45.08114969
78.99996823,386.7702358,-45.11111473
78.99996818,386.7682699,-45.14095209
78.99996814,386.7663126,-45.17066316
78.99996809,386.7643638,-45.20024926
78.99996805,386.7624233,-45.22971161
78.999968,386.7604911,-45.25905136
78.99996796,386.758567,-45.28826951
78.99996791,386.756651,-45.317367
78.99996787,386.7547429,-45.34634463
78.99996782,386.7528428,-45.37520309
78.99996778,386.7509505,-45.40394296
78.99996774,386.7490659,-45.43256468
78.99996769,386.7471891,-45.46106859
78.99996765,386.7453199,-45.48945488
78.9999676,386.7434583,-45.51772364
78.99996756,386.7416043,-45.5458748
78.99996751,386.7397579,-45.5739082
78.99996747,386.7379189,-45.60182352
78.99996742,386.7360875,-45.62962034
78.99996738,386.7342636,-45.65729811
78.99996733,386.7324472,-45.68485614
78.99996729,386.7306383,-45.71229365
78.99996724,386.7288369,-45.73960973
78.9999672,386.7270431,-45.76680336
78.99996715,386.725257,-45.7938734
78.99996711,386.7234784,-45.82081864
78.99996706,386.7217076,-45.84763774
